,DocNum,DocContent
0,1,"['He dedicated this century to his father.', ""It drew unfavourable reviews and was widely regarded as a poor imitation of the Beatles' Sgt."", 'I was pretty stunned for a month or two.""', 'He was dismissed without scoring in one of the two one-day games he played, and scored 36 in the other.', 'His mother had a keen interest in theatre and was offered a feature film role, but she preferred her domestic duties.', 'The album reached No.', 'As a result, former Australian captain Ian Chappell, brother of Greg, called for Tendulkar to retire in his newspaper column.', ""The following year 25x5: The Continuing Adventures of the Rolling Stones, a documentary spanning the band's career was released for their 25th anniversary."", 'Mike McCahill of The Guardian remarked, ""Among an electric ensemble, Tapsee Pannu, Kirti Kulhari and Andrea Tariang give unwavering voice to the girls’ struggles; Amitabh Bachchan brings his moral authority to bear as their sole legal ally.', 'They returned to Hyde Park in July, though it was not free like the 1969 concert.']"
1,2,"['Recordings from the tour include the 1991 concert album Flashpoint, which reached No.', 'Wood officially joined the Rolling Stones in 1975 for their upcoming Tour of the Americas, which was a contributing factor in the disbandment of the Faces.', 'In the lead-up to the series, Tendulkar simulated scenarios in the nets with Laxman Sivaramakrishnan, the former India leg spinner, donning the role of Warne.', 'Two songs (""Waiting on a Friend"" (US No.', 'At this time he became pessimistic, expressing concern with how a new film would be received, and stating before every release, ""Yeh film to flop hogi!""', 'But Mumbai Indians failed to qualify for semifinals after losing the initial two matches.', 'Residual disagreement emanating from Apple Corps\' dispute with Apple, Inc., iTunes\' owners, over the use of the name ""Apple"" was also partly responsible for the delay, although in 2008, McCartney stated that the main obstacle to making the Beatles\' catalogue available online was that EMI ""want something we\'re not prepared to give them"".', 'Then he decided to play in the knockout stage of the 2012-13 Ranji Trophy.', 'By contrast, Wyman says, ""Our reputation and image as the Bad Boys came later, completely there, accidentally.', 'The film evoked a favourable response from critics and audiences alike.']"
2,3,"['In June 1962 the addition of the drummer Tony Chapman completed the line-up of Jagger, Richards, Jones, Stewart and Taylor.', 'In the subsequent one-day series against England, Tendulkar was the leading run scorer from India with an average of 53.42.', 'Before leaving Atlantic, the Rolling Stones released Undercover in late 1983.', 'This was later called ""one of the best innings I have seen"" by the then Indian captain Krishnamachari Srikkanth.', 'That year\'s resulting album, Tattoo You, featured a number of outtakes, including lead single ""Start Me Up"", which reached No.2 in the US and ranked No.22 on Billboard\'s Hot 100 year-end chart.', 'India won the series 3–1.', ""United Artists released a full soundtrack album for the North American market, combining Beatles songs and Martin's orchestral score; elsewhere, the group's third studio LP, A Hard Day's Night, contained songs from the film on side one and other new recordings on side two."", 'Bachchan is an alumnus of Sherwood College, Nainital.', 'He was arrested and charged with possession of cannabis.', 'Bachchan was struggling, seen as a ""failed newcomer"" who, by the age of 30, had twelve flops and only two hits (as a lead in Bombay to Goa and supporting role in Anand).']"
3,4,"['2 in the US, in December 1967.', 'He also has done voice-over work for the following movies:', 'Meanwhile, at school, he developed a reputation as a child prodigy.', 'Issued in the summer of 1965, it was their fourth UK No.', 'In 2013 he made his Hollywood debut in The Great Gatsby making a special appearance opposite Leonardo DiCaprio and Tobey Maguire.', 'The Rolling Stones have inspired and mentored new generations of musical artists both as a band and individually.', 'While awaiting the appeal hearings, the band recorded a new single, ""We Love You"", as a thank you for their fans\' loyalty.', 'McCartney has said, ""We\'d had our cute period, and now it was time to expand.""', 'He is also the only player to score fifty centuries in Test cricket, and the first to score fifty centuries in all international cricket combined.', 'This can, under some conditions, amount to altering the condition of the ball.']"
4,5,"['On the treatment of the man responsible for the raid, he later added: ""As I heard it, he never walked the same again.""', 'Jagger said that Jones was ""not psychologically suited to this way of life"".', 'The album reached No.', 'He scored 100 not out off 66 balls.', 'Show, which showcased American acts with British Invasion artists.', ""Bachchan's performance in the film saw him nominated for both the Filmfare Best Actor Award and the Filmfare Award for Best Male Playback Singer."", 'He narrowly missed out on playing alongside his idol Gavaskar, who had retired from all forms of cricket after the 1987 Cricket World Cup.', 'Though he scored 141 not out, West Indies won the rain-affected match by the D/L method.', ""The Bombay high court, in April 1999, restrained Bachchan from selling off his Bombay bungalow 'Prateeksha' and two flats till the pending loan recovery cases of Canara Bank were disposed of."", ""Ravi Shankar, with whom Harrison studied for six weeks in India in late 1966, had a significant effect on his musical development during the band's later years.""]"
5,6,"['The props the band used on stage increased in both size and sophistication, similar to those on Broadway.', 'On 30 July 2019, Parliament of India declared the practice of Triple Talaq as illegal, unconstitutional and made it punishable act from 1 August 2019 which is deemed to be in effect from 19 September 2018.', 'The album met with strong reviews and sales, going double platinum in the US.', 'A second collection, The Beatles in Mono, included remastered versions of every Beatles album released in true mono along with the original 1965 stereo mixes of Help!', ""Tendulkar has opened two restaurants: Tendulkar's (Colaba, Mumbai) and Sachin's (Mulund, Mumbai) and Bangalore."", ""The magnitude of the BJP's victory led many commentators to say that the election constituted a political realignment away from progressive parties and towards the right-wing."", ""On 31 July, the appeals court overturned Richards' conviction, and reduced Jagger's sentence to a conditional discharge."", 'During the run-up to the 2007 assembly elections and the 2009 general election, the BJP intensified its rhetoric on terrorism.', ""Already contemplating Best's dismissal, the Beatles replaced him in mid-August with Ringo Starr, who left Rory Storm and the Hurricanes to join them."", '1 hit in the UK, their cover version of Bobby and Shirley Womack\'s ""It\'s All Over Now"".']"
6,7,"['The Crown prosecutor later conceded that Richards had procured the drugs after his arrival.', 'In order for Universal Music to acquire EMI, the European Union, for antitrust reasons, forced EMI to spin off assets including Parlophone.', 'It reached No.', '9 in the UK and the US.', 'If he became exhausted, Achrekar would put a one-rupee coin on the top of the stumps, and the bowler who dismissed Tendulkar would get the coin.', ""Modi liberalised India's foreign direct investment policies, allowing more foreign investment in several industries, including in defence and the railways."", 'An estimated 490,000 people attended the concert.', 'The show premiered in June 2006, and the Love album was released that November.', 'In March 2008, the Supreme Court reopened several cases related to the 2002 riots, including that of the Gulbarg Society massacre, and established a Special Investigation Team (SIT) to look into the issue.', ""The economic policies of Modi's government focused on privatisation and liberalisation of the economy, based on a neoliberal framework.""]"
7,8,"['Richards started using open tunings for rhythm parts (often in conjunction with a capo), most prominently an open-E or open-D tuning in 1968.', ""In 1987 Modi helped organise the BJP's campaign in the Ahmedabad municipal election, which the BJP won comfortably; Modi's planning has been described as the reason for that result by biographers."", 'Voter dissatisfaction with the INC, as well as with regional parties in North India, was another reason for the success of the BJP, as was the support from the RSS.', 'As a part-time bowler, he dismissed an exhausted centurion, Matthew Hayden in the tri-series final.', ""In March 1969, James arranged to sell his and his partner's shares of Northern Songs to the British broadcasting company Associated Television (ATV), founded by impresario Lew Grade, without first informing the Beatles."", 'The government introduced stricter packaging laws for tobacco which requires 85% of the packet size to be covered by pictorial warnings.', 'The documentary Crossfire Hurricane, directed by Brett Morgen, was released in October 2012.', 'Richards recorded the guitar riff that drives the song with a fuzzbox as a scratch track to guide a horn section.', 'After the moderate success of ""Love Me Do"", the single ""Please Please Me"" met with a more emphatic reception.', 'This led to the period Richards has referred to as ""World War III"".']"
8,9,"['Its second track, the ballad ""Something"", was issued as a single – the only Harrison composition ever to appear as a Beatles A-side.', 'The Rolling Stones ended the 1990s with the album Bridges to Babylon (UK 6; US 3), released in 1997 to mixed reviews.', 'The Rolling Stones have inspired and mentored new generations of musical artists both as a band and individually.', 'Australia returned for a seven-match ODI series in India in October, and Tendulkar made 14, 4, 32 and 40 in the first four games.', 'Perhaps it was the combination of dope and no dope that worked, who knows?', 'The stated goals of the campaign included eliminating open defecation and manual scavenging within five years.', 'Jones, no longer in a band, advertised for bandmates in Jazz Weekly, while Stewart found them a practice space; together they decided to form a band playing Chicago blues.', 'Jagger said that Jones was ""not psychologically suited to this way of life"".', 'The BJP election manifesto had also promised to deal with illegal immigration into India in the Northeast, as well as to be more firm in its handling of insurgent groups.', 'Modi\'s administration gave renewed attention to India\'s ""Look East Policy"", instituted in 1991.']"
9,10,"['In 2015, Modi was ranked the 13th-Most-Influential Person in the World by Bloomberg Markets Magazine.', 'The following year, Shankersinh Vaghela, a prominent BJP leader from Gujarat, defected to the Indian National Congress (Congress, INC) after losing his parliamentary seat in the Lok Sabha elections.', ""Questions about Modi's relationship with Muslims were also raised by many Western nations during his tenure as chief minister."", '3 in the US.', 'George Martin\'s close involvement in his role as producer made him one of the leading candidates for the informal title of the ""fifth Beatle"".', '24 in the US.', 'Tendulkar scored an unbeaten 194 against Pakistan at Multan in the following series.', 'A month after the September 11 attacks, Jagger, Richards and a backing band took part in The Concert for New York City, performing ""Salt of the Earth"" and ""Miss You"".', 'It reached No.', 'In order for Universal Music to acquire EMI, the European Union, for antitrust reasons, forced EMI to spin off assets including Parlophone.']"
10,11,"['It met with mixed reviews, reaching No.', ""One project that did particularly well for Bachchan was Sanjay Leela Bhansali's Black (2005)."", 'He was also the first sportsperson and the first person without an aviation background to be awarded the honorary rank of group captain by the Indian Air Force.', ""Sachin Tendulkar's autobiography, Playing It My Way, was released on 6 November 2014."", 'In 2013, he bought a 10% stake in Just Dial from which he made a gain of 4600 percent.', 'In 2010 edition of Indian Premier League, Mumbai Indians reached the final of the tournament.', 'During the 2014 election campaign, the BJP sought to identify itself with political leaders known to have opposed Hindu nationalism, including B. R. Ambedkar, Subhas Chandra Bose, and Ram Manohar Lohia.', ""His form dipped a bit in the middle of the tournament, but Tendulkar came back strongly in India's must-win game against Sri Lanka at the Bellerive Oval in Hobart, scoring 63 off 54 balls."", ""The activities of a number of Hindu nationalist organisations increased in scope after Modi's election as Prime Minister, sometimes with the support of the government."", 'Anand (1971) followed, in which Bachchan starred alongside Rajesh Khanna.']"
11,12,"['So he is heading the ambassador position of the ICC Cricket world cup in consecutive terms of the cricket world cup (2011 and 2015).', 'He also won Best Batsman and Best Captain awards at 2010 IPL Awards ceremony.', 'All of them were successful at the box office.', 'During this time, he made a guest appearance in the film Guddi which starred his future wife Jaya Bhaduri.', 'However his highest score in the Tests was 91; Tendulkar averaged 34.12 in the series as England won 4–0 as they deposed India as the No.', 'Sachin consistently featured in the school team in the Matunga Gujarati Seva Mandal (MGSM) Shield.', 'It won him his third National Film Award for Best Actor and fifth Filmfare Best Actor Award.', 'Public irrigation measures in central and southern Gujarat, such as the Sardar Sarovar Dam, were less successful.', 'Despite opposition from the election commissioner, who said that a number of voters were still displaced, Modi succeeded in advancing the election to December 2002.', 'There were a lot of distractions and you always need someone to focus you at that point, that was Andrew\'s job.""']"
